FID,cd_recorte,quadro,cd_mun,nm_mun,id
qg_2022_030_munic.337,03011703602,030,1703602,Brasilândia do Tocantins,337
qg_2022_030_munic.338,03011703701,030,1703701,Brejinho de Nazaré,338
qg_2022_030_munic.339,03011703800,030,1703800,Buriti do Tocantins,339
qg_2022_030_munic.340,03011703826,030,1703826,Cachoeirinha,340
qg_2022_030_munic.341,03011703842,030,1703842,Campos Lindos,341
qg_2022_030_munic.342,03011703867,030,1703867,Cariri do Tocantins,342
qg_2022_030_munic.343,03011703883,030,1703883,Carmolândia,343
qg_2022_030_munic.344,03011703891,030,1703891,Carrasco Bonito,344
qg_2022_030_munic.345,03011703909,030,1703909,Caseara,345
qg_2022_030_munic.346,03011704105,030,1704105,Centenário,346
qg_2022_030_munic.347,03011704600,030,1704600,Chapada de Areia,347
qg_2022_030_munic.348,03011705102,030,1705102,Chapada da Natividade,348
qg_2022_030_munic.349,03011705508,030,1705508,Colinas do Tocantins,349
qg_2022_030_munic.350,03011705557,030,1705557,Combinado,350
qg_2022_030_munic.351,03011705607,030,1705607,Conceição do Tocantins,351
qg_2022_030_munic.352,03011706001,030,1706001,Couto Magalhães,352
qg_2022_030_munic.353,03011706100,030,1706100,Cristalândia,353
qg_2022_030_munic.354,03011706258,030,1706258,Crixás do Tocantins,354
qg_2022_030_munic.355,03011706506,030,1706506,Darcinópolis,355
qg_2022_030_munic.356,03011707009,030,1707009,Dianópolis,356
qg_2022_030_munic.357,03011707108,030,1707108,Divinópolis do Tocantins,357
qg_2022_030_munic.358,03011707207,030,1707207,Dois Irmãos do Tocantins,358
qg_2022_030_munic.359,03011707306,030,1707306,Dueré,359
qg_2022_030_munic.360,03011707405,030,1707405,Esperantina,360
qg_2022_030_munic.361,03011707553,030,1707553,Fátima,361
qg_2022_030_munic.362,03011707652,030,1707652,Figueirópolis,362
qg_2022_030_munic.363,03011707702,030,1707702,Filadélfia,363
qg_2022_030_munic.364,03011708205,030,1708205,Formoso do Araguaia,364
qg_2022_030_munic.365,03011708254,030,1708254,Tabocão,365
qg_2022_030_munic.366,03011708304,030,1708304,Goianorte,366
qg_2022_030_munic.367,03011709005,030,1709005,Goiatins,367
qg_2022_030_munic.368,03011709302,030,1709302,Guaraí,368
qg_2022_030_munic.369,03011709500,030,1709500,Gurupi,369
qg_2022_030_munic.370,03011709807,030,1709807,Ipueiras,370
qg_2022_030_munic.371,03011710508,030,1710508,Itacajá,371
qg_2022_030_munic.372,03011710706,030,1710706,Itaguatins,372
qg_2022_030_munic.373,03011710904,030,1710904,Itapiratins,373
qg_2022_030_munic.374,03011711100,030,1711100,Itaporã do Tocantins,374
qg_2022_030_munic.375,03011711506,030,1711506,Jaú do Tocantins,375
qg_2022_030_munic.376,03011711803,030,1711803,Juarina,376
qg_2022_030_munic.377,03011711902,030,1711902,Lagoa da Confusão,377
qg_2022_030_munic.378,03011711951,030,1711951,Lagoa do Tocantins,378
qg_2022_030_munic.379,03011712009,030,1712009,Lajeado,379
qg_2022_030_munic.380,03011712157,030,1712157,Lavandeira,380
qg_2022_030_munic.381,03011712405,030,1712405,Lizarda,381
qg_2022_030_munic.382,03011712454,030,1712454,Luzinópolis,382
qg_2022_030_munic.383,03011712504,030,1712504,Marianópolis do Tocantins,383
qg_2022_030_munic.384,03011712702,030,1712702,Mateiros,384
qg_2022_030_munic.385,03011712801,030,1712801,Maurilândia do Tocantins,385
qg_2022_030_munic.386,03011713205,030,1713205,Miracema do Tocantins,386
qg_2022_030_munic.387,03011713304,030,1713304,Miranorte,387
qg_2022_030_munic.388,03011713601,030,1713601,Monte do Carmo,388
qg_2022_030_munic.389,03011713700,030,1713700,Monte Santo do Tocantins,389
qg_2022_030_munic.390,03011713809,030,1713809,Palmeiras do Tocantins,390
qg_2022_030_munic.391,03011713957,030,1713957,Muricilândia,391
qg_2022_030_munic.392,03011714203,030,1714203,Natividade,392
qg_2022_030_munic.393,03011714302,030,1714302,Nazaré,393
qg_2022_030_munic.394,03011714880,030,1714880,Nova Olinda,394
qg_2022_030_munic.395,03011715002,030,1715002,Nova Rosalândia,395
qg_2022_030_munic.396,03011715101,030,1715101,Novo Acordo,396
qg_2022_030_munic.397,03011715150,030,1715150,Novo Alegre,397
qg_2022_030_munic.398,03011715259,030,1715259,Novo Jardim,398
qg_2022_030_munic.399,03011715507,030,1715507,Oliveira de Fátima,399
qg_2022_030_munic.400,03011715705,030,1715705,Palmeirante,400
qg_2022_030_munic.401,03011715754,030,1715754,Palmeirópolis,401
qg_2022_030_munic.402,03011716109,030,1716109,Paraíso do Tocantins,402
qg_2022_030_munic.403,03011716208,030,1716208,Paranã,403
qg_2022_030_munic.404,03011716307,030,1716307,Pau D'Arco,404
qg_2022_030_munic.405,03011716505,030,1716505,Pedro Afonso,405
qg_2022_030_munic.406,03011716604,030,1716604,Peixe,406
qg_2022_030_munic.407,03011716653,030,1716653,Pequizeiro,407
qg_2022_030_munic.408,03011716703,030,1716703,Colméia,408
